"Organization","ID/CDC","Administration","Tested Grade","STAAR - Mathematics|Tests Taken","STAAR - Mathematics|Average Scale Score","STAAR - Mathematics|Performance Levels|Did Not Meet|Count","STAAR - Mathematics|Performance Levels|Did Not Meet|Percentage","STAAR - Mathematics|Performance Levels|Approaches and Above|Count","STAAR - Mathematics|Performance Levels|Approaches and Above|Percentage","STAAR - Mathematics|Performance Levels|Meets and Above|Count","STAAR - Mathematics|Performance Levels|Meets and Above|Percentage","STAAR - Mathematics|Performance Levels|Masters|Count","STAAR - Mathematics|Performance Levels|Masters|Percentage"
"ELECTRA ISD","243902","Spring 2025","8","27","1818","11","41","16","59","10","37","5","19"
"ELGIN ISD","011902","Spring 2025","8","429","1762","236","55","193","45","80","19","19","4"
"ELKHART ISD","001903","Spring 2025","8","62","1816","13","21","49","79","24","39","1","2"
"ELYSIAN FIELDS ISD","102906","Spring 2025","8","36","1848","5","14","31","86","16","44","3","8"
"ENNIS ISD","070903","Spring 2025","8","335","1783","152","45","183","55","82","24","15","4"
"ERA ISD","049906","Spring 2025","8","35","1980","4","11","31","89","27","77","12","34"
"ERATH EXCELS ACADEMY INC","072802","Spring 2025","8","12","1698","11","92","1","8","0","0","0","0"
"ESSENCE PREPARATORY CHARTER SCHOOL","015844","Spring 2025","8","12","1704","8","67","4","33","0","0","0","0"
"ETOILE ACADEMY CHARTER SCHOOL","101872","Spring 2025","8","83","1848","41","49","42","51","30","36","18","22"
"EULA ISD","030906","Spring 2025","8","30","1956","4","13","26","87","18","60","13","43"
"EUSTACE ISD","107905","Spring 2025","8","140","1913","17","12","123","88","86","61","34","24"
"EVADALE ISD","121906","Spring 2025","8","36","1900","6","17","30","83","21","58","10","28"
"EVANT ISD","050901","Spring 2025","8","11","1770","6","55","5","45","2","18","0","0"
"EVERMAN ISD","220904","Spring 2025","8","236","1717","167","71","69","29","6","3","0","0"
"EXCEL ACADEMY","101811","Spring 2025","8","34","1555","31","91","3","9","0","0","0","0"
"EXCELLENCE IN LEADERSHIP ACADEMY","108809","Spring 2025","8","9","1809","2","22","7","78","2","22","0","0"
"EXCELSIOR ISD","210906","Spring 2025","8","6","1755","4","67","2","33","1","17","0","0"
"EZZELL ISD","143906","Spring 2025","8","4","","","","","","","","",""
"FABENS ISD","071903","Spring 2025","8","102","1726","67","66","35","34","9","9","1","1"
"FAIRFIELD ISD","081902","Spring 2025","8","135","1855","36","27","99","73","71","53","15","11"
"FAITH FAMILY ACADEMY","070801","Spring 2025","8","214","1761","126","59","88","41","36","17","8","4"
"FALLS CITY ISD","128904","Spring 2025","8","53","2023","2","4","51","96","46","87","27","51"
"FANNINDEL ISD","060914","Spring 2025","8","8","1708","7","88","1","13","1","13","0","0"
"FARMERSVILLE ISD","043904","Spring 2025","8","101","1798","32","32","69","68","27","27","0","0"
"FARWELL ISD","185902","Spring 2025","8","32","1904","4","13","28","88","22","69","6","19"
"FAYETTEVILLE ISD","075906","Spring 2025","8","27","1998","3","11","24","89","21","78","13","48"
"FERRIS ISD","070905","Spring 2025","8","228","1801","92","40","136","60","54","24","12","5"
"FLATONIA ISD","075901","Spring 2025","8","42","1870","9","21","33","79","25","60","4","10"
"FLORENCE ISD","246902","Spring 2025","8","98","1762","50","51","48","49","19","19","2","2"
"FLORESVILLE ISD","247901","Spring 2025","8","336","1888","74","22","262","78","180","54","75","22"
"FLOUR BLUFF ISD","178914","Spring 2025","8","383","1947","68","18","315","82","239","62","127","33"
"FLOYDADA COLLEGIATE ISD","077901","Spring 2025","8","44","1879","10","23","34","77","25","57","8","18"
"FOLLETT ISD","148902","Spring 2025","8","11","1836","3","27","8","73","5","45","1","9"
"FORESTBURG ISD","169910","Spring 2025","8","18","1797","8","44","10","56","4","22","1","6"
"FORNEY ISD","129902","Spring 2025","8","1478","1864","420","28","1058","72","677","46","273","18"
"FORSAN ISD","114904","Spring 2025","8","47","1849","17","36","30","64","23","49","7","15"
"FORT BEND ISD","079907","Spring 2025","8","4179","1843","1463","35","2716","65","1645","39","615","15"
"FORT ELLIOTT CISD","242906","Spring 2025","8","18","1878","4","22","14","78","10","56","4","22"
"FORT STOCKTON ISD","186902","Spring 2025","8","1417","1728","1028","73","389","27","112","8","23","2"
"FORT WORTH ACADEMY OF FINE ARTS","220809","Spring 2025","8","79","1844","25","32","54","68","36","46","9","11"
"FORT WORTH ISD","220905","Spring 2025","8","5194","1805","2274","44","2920","56","1599","31","463","9"
"FRANKLIN ISD","198903","Spring 2025","8","75","1977","5","7","70","93","66","88","31","41"
"FRANKSTON ISD","001904","Spring 2025","8","62","1915","9","15","53","85","45","73","15","24"
"FREDERICKSBURG ISD","086901","Spring 2025","8","216","1870","70","32","146","68","91","42","47","22"
"FREER ISD","066903","Spring 2025","8","54","1817","18","33","36","67","20","37","2","4"
"FRENSHIP ISD","152907","Spring 2025","8","537","1818","181","34","356","66","188","35","40","7"
"FRIENDSWOOD ISD","084911","Spring 2025","8","502","2023","31","6","471","94","419","83","265","53"
"FRIONA ISD","185903","Spring 2025","8","62","1786","27","44","35","56","15","24","1","2"
"FRISCO ISD","043905","Spring 2025","8","2667","1933","477","18","2190","82","1579","59","790","30"
"FROST ISD","175905","Spring 2025","8","29","1781","12","41","17","59","7","24","1","3"
"FRUITVALE ISD","234909","Spring 2025","8","16","1879","1","6","15","94","11","69","0","0"
"FT DAVIS ISD","122901","Spring 2025","8","13","1864","1","8","12","92","6","46","0","0"
"FT HANCOCK ISD","115901","Spring 2025","8","20","1809","5","25","15","75","7","35","0","0"
"FT SAM HOUSTON ISD","015914","Spring 2025","8","110","1930","17","15","93","85","75","68","35","32"
"GAINESVILLE ISD","049901","Spring 2025","8","165","1818","43","26","122","74","63","38","4","2"
"GALENA PARK ISD","101910","Spring 2025","8","1602","1907","348","22","1254","78","909","57","432","27"
"GALVESTON ISD","084902","Spring 2025","8","383","1778","224","58","159","42","97","25","34","9"
"GANADO ISD","120902","Spring 2025","8","60","1795","25","42","35","58","19","32","3","5"
"GARLAND ISD","057909","Spring 2025","8","4612","1836","1560","34","3052","66","1817","39","551","12"
"GARNER ISD","184911","Spring 2025","8","16","1783","6","38","10","63","2","13","1","6"
"GARRISON ISD","174903","Spring 2025","8","55","1903","11","20","44","80","29","53","16","29"
"GARY ISD","183904","Spring 2025","8","28","1740","19","68","9","32","2","7","0","0"
"GATESVILLE ISD","050902","Spring 2025","8","202","1857","58","29","144","71","92","46","33","16"
"GATEWAY CHARTER ACADEMY","057831","Spring 2025","8","31","1790","13","42","18","58","5","16","1","3"
"GAUSE ISD","166902","Spring 2025","8","8","1866","2","25","6","75","5","63","2","25"
"GEORGE I SANCHEZ CHARTER","101804","Spring 2025","8","113","1697","97","86","16","14","3","3","0","0"
"GEORGE WEST ISD","149901","Spring 2025","8","70","1936","11","16","59","84","49","70","24","34"
"GEORGETOWN ISD","246904","Spring 2025","8","1031","1843","345","33","686","67","432","42","144","14"
"GHOLSON ISD","161925","Spring 2025","8","17","1798","6","35","11","65","7","41","1","6"
"GIDDINGS ISD","144901","Spring 2025","8","134","1909","26","19","108","81","77","57","36","27"
"GILMER ISD","230902","Spring 2025","8","181","1835","66","36","115","64","63","35","24","13"
"GLADEWATER ISD","092901","Spring 2025","8","120","1794","52","43","68","57","37","31","3","3"
"GLASSCOCK COUNTY ISD","087901","Spring 2025","8","16","1997","2","13","14","88","14","88","7","44"
"GLEN ROSE ISD","213901","Spring 2025","8","151","1866","38","25","113","75","76","50","28","19"
"GODLEY ISD","126911","Spring 2025","8","268","1850","68","25","200","75","119","44","31","12"
"GOLD BURG ISD","169906","Spring 2025","8","12","1745","8","67","4","33","1","8","0","0"
"GOLDEN RULE CHARTER SCHOOL","057835","Spring 2025","8","88","1827","30","34","58","66","35","40","9","10"
"GOLDTHWAITE ISD","167901","Spring 2025","8","28","1916","2","7","26","93","22","79","7","25"
"GOLIAD ISD","088902","Spring 2025","8","94","1843","23","24","71","76","42","45","6","6"
"GONZALES ISD","089901","Spring 2025","8","153","1760","87","57","66","43","29","19","2","1"
"GOODRICH ISD","187903","Spring 2025","8","17","1874","5","29","12","71","10","59","4","24"
"GOOSE CREEK CISD","101911","Spring 2025","8","1510","1824","531","35","979","65","577","38","147","10"
"GORDON ISD","182901","Spring 2025","8","13","1819","3","23","10","77","6","46","0","0"
"GORMAN ISD","067904","Spring 2025","8","11","1771","4","36","7","64","2","18","0","0"
"GRADY ISD","156905","Spring 2025","8","18","1878","2","11","16","89","8","44","2","11"
"GRAFORD ISD","182902","Spring 2025","8","20","1758","12","60","8","40","2","10","0","0"
"GRAHAM ISD","252901","Spring 2025","8","138","1843","42","30","96","70","62","45","17","12"
"GRANBURY ISD","111901","Spring 2025","8","434","1785","187","43","247","57","102","24","11","3"
"GRAND PRAIRIE ISD","057910","Spring 2025","8","1755","1818","672","38","1083","62","604","34","176","10"
"GRAND SALINE ISD","234904","Spring 2025","8","75","1802","33","44","42","56","25","33","3","4"
"GRANDFALLS-ROYALTY ISD","238904","Spring 2025","8","9","1677","9","100","0","0","0","0","0","0"
"GRANDVIEW ISD","126904","Spring 2025","8","93","1847","22","24","71","76","41","44","9","10"
"GRANGER ISD","246905","Spring 2025","8","36","1781","17","47","19","53","10","28","0","0"
"GRAPE CREEK ISD","226907","Spring 2025","8","77","1855","17","22","60","78","32","42","8","10"
"GRAPELAND ISD","113902","Spring 2025","8","35","1790","16","46","19","54","11","31","1","3"
"GRAPEVINE-COLLEYVILLE ISD","220906","Spring 2025","8","1282","1947","168","13","1114","87","840","66","441","34"
"GREAT HEARTS TEXAS","015835","Spring 2025","8","91","1746","50","55","41","45","12","13","0","0"
"GREENVILLE ISD","116905","Spring 2025","8","385","1775","192","50","193","50","82","21","17","4"
"GREENWOOD ISD","165902","Spring 2025","8","296","1863","69","23","227","77","148","50","48","16"
"GREGORY-PORTLAND ISD","205902","Spring 2025","8","286","1809","105","37","181","63","90","31","16","6"
"GROESBECK ISD","147902","Spring 2025","8","97","1861","27","28","70","72","42","43","17","18"
"GROOM ISD","033901","Spring 2025","8","12","1876","1","8","11","92","6","50","1","8"
"GROVETON ISD","228901","Spring 2025","8","42","1789","17","40","25","60","8","19","2","5"
"GRUVER ISD","098901","Spring 2025","8","22","1994","0","0","22","100","21","95","8","36"
"GUNTER ISD","091917","Spring 2025","8","56","1762","25","45","31","55","6","11","0","0"
"GUSTINE ISD","047903","Spring 2025","8","12","1816","4","33","8","67","6","50","2","17"
"GUTHRIE CSD","135001","Spring 2025","8","12","1919","1","8","11","92","9","75","1","8"
"HALE CENTER ISD","095903","Spring 2025","8","33","1751","20","61","13","39","4","12","0","0"
"HALLETTSVILLE ISD","143901","Spring 2025","8","44","1894","8","18","36","82","31","70","9","20"
"HALLSVILLE ISD","102904","Spring 2025","8","2288","1736","1600","70","688","30","252","11","80","3"
"HAMILTON ISD","097902","Spring 2025","8","66","1911","12","18","54","82","39","59","15","23"
"HAMLIN COLLEGIATE ISD","127903","Spring 2025","8","22","1786","10","45","12","55","7","32","2","9"
"HAMSHIRE-FANNETT ISD","123914","Spring 2025","8","156","1833","53","34","103","66","64","41","15","10"
"HAPPY ISD","219901","Spring 2025","8","22","1917","3","14","19","86","15","68","5","23"
"HARDIN ISD","146904","Spring 2025","8","101","1798","43","43","58","57","32","32","4","4"
"HARDIN-JEFFERSON ISD","100905","Spring 2025","8","196","1971","13","7","183","93","152","78","77","39"
"HARLANDALE ISD","015904","Spring 2025","8","805","1819","289","36","516","64","279","35","74","9"
"HARLETON ISD","102905","Spring 2025","8","37","1945","2","5","35","95","24","65","11","30"
"HARLINGEN CISD","031903","Spring 2025","8","741","1805","274","37","467","63","226","30","41","6"
"HARMONY ISD","230905","Spring 2025","8","78","1888","6","8","72","92","42","54","16","21"
"HARMONY PUBLIC SCHOOLS - CENTRAL TEXAS","227816","Spring 2025","8","343","1922","87","25","256","75","187","55","106","31"
"HARMONY PUBLIC SCHOOLS - HOUSTON NORTH","101858","Spring 2025","8","655","1926","126","19","529","81","397","61","191","29"
"HARMONY PUBLIC SCHOOLS - HOUSTON SOUTH","101846","Spring 2025","8","332","1925","51","15","281","85","226","68","82","25"
"HARMONY PUBLIC SCHOOLS - HOUSTON WEST","101862","Spring 2025","8","539","2023","33","6","506","94","429","80","256","47"
"HARMONY PUBLIC SCHOOLS - NORTH TEXAS","161807","Spring 2025","8","882","1909","205","23","677","77","492","56","235","27"
"HARMONY PUBLIC SCHOOLS - SOUTH TEXAS","015828","Spring 2025","8","398","1893","94","24","304","76","214","54","91","23"
"HARMONY PUBLIC SCHOOLS - WEST TEXAS","071806","Spring 2025","8","482","1929","68","14","414","86","315","65","144","30"
"HARPER ISD","086902","Spring 2025","8","44","1875","8","18","36","82","22","50","8","18"
"HARROLD ISD","244901","Spring 2025","8","17","1771","8","47","9","53","1","6","0","0"
"HART ISD","035902","Spring 2025","8","15","1804","7","47","8","53","5","33","1","7"
"HARTLEY ISD","103902","Spring 2025","8","14","2039","2","14","12","86","12","86","8","57"
"HARTS BLUFF ISD","225907","Spring 2025","8","40","1786","19","48","21","53","11","28","0","0"
"HASKELL CISD","104901","Spring 2025","8","34","1925","5","15","29","85","18","53","10","29"
"HAWKINS ISD","250902","Spring 2025","8","47","1769","25","53","22","47","8","17","2","4"
"HAWLEY ISD","127904","Spring 2025","8","56","1826","19","34","37","66","23","41","4","7"
"HAYS CISD","105906","Spring 2025","8","1765","1865","501","28","1264","72","836","47","325","18"
"HEARNE ISD","198905","Spring 2025","8","43","1751","28","65","15","35","7","16","2","5"
"HEDLEY ISD","065902","Spring 2025","8","8","1838","2","25","6","75","3","38","0","0"
"HEMPHILL ISD","202903","Spring 2025","8","43","1933","4","9","39","91","33","77","11","26"
"HEMPSTEAD ISD","237902","Spring 2025","8","96","1788","47","49","49","51","28","29","3","3"
"HENDERSON ISD","201902","Spring 2025","8","188","1755","101","54","87","46","31","16","1","1"
"HENRIETTA ISD","039902","Spring 2025","8","84","1854","20","24","64","76","34","40","11","13"
"HEREFORD ISD","059901","Spring 2025","8","279","1827","94","34","185","66","114","41","20","7"
"HERITAGE ACADEMY","015815","Spring 2025","8","79","1870","14","18","65","82","45","57","10","13"
"HERMLEIGH ISD","208901","Spring 2025","8","29","1928","2","7","27","93","17","59","9","31"
"HICO ISD","097903","Spring 2025","8","44","1926","4","9","40","91","29","66","13","30"
"HIDALGO ISD","108905","Spring 2025","8","115","1813","36","31","79","69","36","31","10","9"
"HIGH ISLAND ISD","084903","Spring 2025","8","9","1848","1","11","8","89","5","56","0","0"
"HIGHLAND ISD","177905","Spring 2025","8","16","1960","0","0","16","100","14","88","5","31"
"HIGHLAND PARK ISD","057911","Spring 2025","8","445","2072","11","2","434","98","415","93","301","68"
"HIGHLAND PARK ISD","188903","Spring 2025","8","67","1843","24","36","43","64","29","43","10","15"
"HILLSBORO ISD","109904","Spring 2025","8","121","1900","19","16","102","84","72","60","28","23"
"HITCHCOCK ISD","084908","Spring 2025","8","133","1774","61","46","72","54","31","23","4","3"
"HOLLAND ISD","014905","Spring 2025","8","48","1963","6","13","42","88","34","71","19","40"
"HOLLIDAY ISD","005902","Spring 2025","8","68","1858","19","28","49","72","36","53","9","13"
"HONDO ISD","163904","Spring 2025","8","151","1834","48","32","103","68","65","43","16","11"
"HONEY GROVE ISD","074907","Spring 2025","8","59","2012","3","5","56","95","49","83","28","47"
"HOOKS ISD","019902","Spring 2025","8","63","1861","8","13","55","87","29","46","5","8"
"HORIZON MONTESSORI PUBLIC SCHOOLS","108802","Spring 2025","8","51","1812","22","43","29","57","16","31","6","12"
"HOUSTON GATEWAY ACADEMY INC","101828","Spring 2025","8","124","1956","13","10","111","90","88","71","46","37"
"HOUSTON ISD","101912","Spring 2025","8","9507","1853","3043","32","6464","68","4105","43","1481","16"
"HOWE ISD","091905","Spring 2025","8","76","1843","23","30","53","70","34","45","9","12"
"HUBBARD ISD","109905","Spring 2025","8","25","1782","7","28","18","72","4","16","0","0"
"HUCKABAY ISD","072908","Spring 2025","8","9","1902","1","11","8","89","7","78","0","0"
"HUDSON ISD","003902","Spring 2025","8","167","1920","32","19","135","81","110","66","44","26"
"HUFFMAN ISD","101925","Spring 2025","8","311","1812","118","38","193","62","115","37","39","13"
"HUGHES SPRINGS ISD","034903","Spring 2025","8","69","1857","16","23","53","77","36","52","8","12"
"HULL-DAISETTA ISD","146905","Spring 2025","8","27","1733","19","70","8","30","3","11","0","0"
"HUMBLE ISD","101913","Spring 2025","8","3977","1866","1054","27","2923","73","1964","49","617","16"
"HUNT ISD","133902","Spring 2025","8","5","1970","0","0","5","100","4","80","1","20"
"HUNTINGTON ISD","003904","Spring 2025","8","117","1865","37","32","80","68","53","45","21","18"
"HUNTSVILLE ISD","236902","Spring 2025","8","1085","1807","471","43","614","57","346","32","102","9"
"HURST-EULESS-BEDFORD ISD","220916","Spring 2025","8","1100","1875","227","21","873","79","610","55","186","17"
"HUTTO ISD","246906","Spring 2025","8","795","1858","226","28","569","72","376","47","129","16"
"IDALOU ISD","152910","Spring 2025","8","64","2040","3","5","61","95","58","91","34","53"
"IDEA PUBLIC SCHOOLS","108807","Spring 2025","8","51","1816","23","45","28","55","22","43","8","16"
"IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS","043801","Spring 2025","8","48","2069","0","0","48","100","47","98","28","58"
"INDUSTRIAL ISD","120905","Spring 2025","8","89","1942","2","2","87","98","68","76","27","30"
"INGLESIDE ISD","205903","Spring 2025","8","159","1963","12","8","147","92","127","80","57","36"
"INGRAM ISD","133904","Spring 2025","8","101","1904","10","10","91","90","62","61","21","21"
"INSPIRE ACADEMIES","015808","Spring 2025","8","115","1751","66","57","49","43","22","19","4","3"
"INSPIRED VISION ACADEMY","057830","Spring 2025","8","103","1782","49","48","54","52","23","22","4","4"
"INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","057848","Spring 2025","8","2198","1789","1059","48","1139","52","571","26","157","7"
"IOLA ISD","093903","Spring 2025","8","30","1959","2","7","28","93","22","73","10","33"
"IOWA PARK CISD","243903","Spring 2025","8","128","1955","17","13","111","87","98","77","44","34"
"IRA ISD","208903","Spring 2025","8","24","1808","7","29","17","71","7","29","1","4"
"IRAAN-SHEFFIELD COLLEGIATE ISD","186903","Spring 2025","8","28","1808","8","29","20","71","7","25","1","4"
"IREDELL ISD","018906","Spring 2025","8","9","1764","5","56","4","44","1","11","0","0"
"IRION COUNTY ISD","118902","Spring 2025","8","25","1848","5","20","20","80","12","48","1","4"
"IRVING ISD","057912","Spring 2025","8","2172","1832","716","33","1456","67","910","42","225","10"
"ITALY ISD","070907","Spring 2025","8","48","1837","17","35","31","65","19","40","3","6"
"ITASCA ISD","109907","Spring 2025","8","69","1745","41","59","28","41","6","9","1","1"
"JACKSBORO ISD","119902","Spring 2025","8","86","1842","16","19","70","81","32","37","9","10"
"JACKSONVILLE ISD","037904","Spring 2025","8","275","1777","132","48","143","52","62","23","11","4"
"JARRELL ISD","246907","Spring 2025","8","318","1799","125","39","193","61","106","33","18","6"
"JASPER ISD","121904","Spring 2025","8","173","1724","123","71","50","29","13","8","5","3"
"JAYTON-GIRARD ISD","132902","Spring 2025","8","19","1878","6","32","13","68","10","53","4","21"
"JEAN MASSIEU ACADEMY","057819","Spring 2025","8","17","1809","6","35","11","65","7","41","1","6"
"JEFFERSON ISD","155901","Spring 2025","8","72","1725","47","65","25","35","7","10","1","1"
"JIM HOGG COUNTY ISD","124901","Spring 2025","8","51","1781","22","43","29","57","17","33","0","0"
"JIM NED CISD","221911","Spring 2025","8","77","1927","10","13","67","87","54","70","24","31"
"JOAQUIN ISD","210902","Spring 2025","8","43","1893","7","16","36","84","25","58","10","23"
"JOHNSON CITY ISD","016901","Spring 2025","8","52","1926","7","13","45","87","36","69","14","27"
"JONESBORO ISD","050909","Spring 2025","8","24","1751","15","63","9","38","3","13","0","0"
"JOSHUA ISD","126905","Spring 2025","8","280","1791","108","39","172","61","75","27","6","2"
"JOURDANTON ISD","007902","Spring 2025","8","120","1940","10","8","110","92","90","75","37","31"
"JUBILEE ACADEMIES","015822","Spring 2025","8","427","1818","150","35","277","65","149","35","36","8"
"JUDSON ISD","015916","Spring 2025","8","1460","1777","737","50","723","50","324","22","64","4"
"JUNCTION ISD","134901","Spring 2025","8","28","1740","16","57","12","43","1","4","0","0"
"KARNACK ISD","102901","Spring 2025","8","8","1896","1","13","7","88","5","63","2","25"
"KARNES CITY ISD","128901","Spring 2025","8","69","1761","41","59","28","41","9","13","0","0"
"KATHERINE ANNE PORTER SCHOOL","105801","Spring 2025","8","13","1708","9","69","4","31","0","0","0","0"
"KATY ISD","101914","Spring 2025","8","8124","1981","1156","14","6968","86","5682","70","3313","41"
"KAUFMAN ISD","129903","Spring 2025","8","202","1787","79","39","123","61","45","22","5","2"
"KEENE ISD","126906","Spring 2025","8","89","1858","19","21","70","79","44","49","13","15"
"KELLER ISD","220907","Spring 2025","8","2710","1898","594","22","2116","78","1526","56","665","25"
"KELTON ISD","242905","Spring 2025","8","10","1863","4","40","6","60","5","50","2","20"
"KEMP ISD","129904","Spring 2025","8","141","1795","71","50","70","50","43","30","14","10"
"KENEDY ISD","128902","Spring 2025","8","49","1843","20","41","29","59","19","39","9","18"
"KENNARD ISD","113906","Spring 2025","8","13","1772","7","54","6","46","1","8","0","0"
"KENNEDALE ISD","220914","Spring 2025","8","222","1853","61","27","161","73","110","50","27","12"
"KERENS ISD","175907","Spring 2025","8","45","1804","12","27","33","73","14","31","0","0"
"KERMIT ISD","248901","Spring 2025","8","113","1839","37","33","76","67","46","41","13","12"
"KERRVILLE ISD","133903","Spring 2025","8","183","1876","21","11","162","89","105","57","25","14"
"KI CHARTER","105803","Spring 2025","8","26","1679","23","88","3","12","1","4","0","0"
"KILGORE ISD","092902","Spring 2025","8","247","1815","94","38","153","62","79","32","22","9"
"KILLEEN ISD","014906","Spring 2025","8","2406","1789","1037","43","1369","57","612","25","116","5"
"KINGSVILLE ISD","137901","Spring 2025","8","154","1735","95","62","59","38","12","8","3","2"
"KIPP TEXAS PUBLIC SCHOOLS","227820","Spring 2025","8","10","1684","7","70","3","30","1","10","0","0"
"KIRBYVILLE CISD","121905","Spring 2025","8","84","1870","15","18","69","82","44","52","11","13"
"KLEIN ISD","101915","Spring 2025","8","4138","1885","917","22","3221","78","2223","54","843","20"
"KLONDIKE ISD","058905","Spring 2025","8","17","1904","4","24","13","76","9","53","5","29"
"KNIPPA ISD","232901","Spring 2025","8","6","1959","0","0","6","100","5","83","1","17"
"KNOX CITY-O'BRIEN CISD","138902","Spring 2025","8","13","1983","1","8","12","92","9","69","3","23"
"KOPPERL ISD","018907","Spring 2025","8","11","1746","8","73","3","27","2","18","0","0"
"KOUNTZE ISD","100903","Spring 2025","8","56","1843","18","32","38","68","29","52","10","18"
"KRESS ISD","219905","Spring 2025","8","20","1908","4","20","16","80","9","45","6","30"
"KRUM ISD","061905","Spring 2025","8","136","1761","69","51","67","49","26","19","2","1"
"LA ACADEMIA DE ESTRELLAS","057839","Spring 2025","8","84","1823","23","27","61","73","31","37","1","1"
"LA FERIA ISD","031905","Spring 2025","8","155","1778","76","49","79","51","43","28","1","1"
"LA GRANGE ISD","075902","Spring 2025","8","160","1882","26","16","134","84","86","54","26","16"
"LA JOYA ISD","108912","Spring 2025","8","1574","1877","420","27","1154","73","806","51","317","20"
"LA PORTE ISD","101916","Spring 2025","8","620","1859","188","30","432","70","289","47","109","18"
"LA PRYOR ISD","254902","Spring 2025","8","21","1767","13","62","8","38","4","19","0","0"
"LA VEGA ISD","161906","Spring 2025","8","219","1814","93","42","126","58","67","31","27","12"
"LA VERNIA ISD","247903","Spring 2025","8","327","1910","46","14","281","86","209","64","74","23"
"LA VILLA ISD","108914","Spring 2025","8","40","1782","18","45","22","55","11","28","1","3"
"LACKLAND ISD","015913","Spring 2025","8","67","1877","15","22","52","78","35","52","9","13"
"LAGO VISTA ISD","227912","Spring 2025","8","170","1862","41","24","129","76","88","52","34","20"
"LAKE DALLAS ISD","061912","Spring 2025","8","293","1881","53","18","240","82","166","57","53","18"
"LAKE GRANBURY ACADEMY CHARTER SCHOOL","111801","Spring 2025","8","4","","","","","","","","",""
"LAKE TRAVIS ISD","227913","Spring 2025","8","1029","1985","113","11","916","89","775","75","452","44"
"LAKE WORTH ISD","220910","Spring 2025","8","242","1769","130","54","112","46","49","20","8","3"
"LAMAR CISD","079901","Spring 2025","8","3853","1901","814","21","3039","79","2150","56","934","24"
"LAMESA ISD","058906","Spring 2025","8","124","1765","68","55","56","45","25","20","4","3"
"LAMPASAS ISD","141901","Spring 2025","8","260","1854","66","25","194","75","120","46","44","17"
"LANCASTER ISD","057913","Spring 2025","8","360","1759","199","55","161","45","53","15","7","2"
"LANEVILLE ISD","201903","Spring 2025","8","9","1819","2","22","7","78","3","33","0","0"
"LAPOYNOR ISD","107910","Spring 2025","8","27","1839","8","30","19","70","12","44","2","7"
"LAREDO ISD","240901","Spring 2025","8","1175","1807","481","41","694","59","380","32","80","7"
"LASARA ISD","245901","Spring 2025","8","2","","","","","","","","",""
"LATEXO ISD","113905","Spring 2025","8","40","1869","8","20","32","80","20","50","7","18"
"LAZBUDDIE ISD","185904","Spring 2025","8","12","1788","2","17","10","83","3","25","0","0"
"LEADERSHIP PREP SCHOOL","061804","Spring 2025","8","148","1845","50","34","98","66","57","39","16","11"
"LEAKEY ISD","193902","Spring 2025","8","27","1821","6","22","21","78","8","30","1","4"
"LEANDER ISD","246913","Spring 2025","8","3509","1962","518","15","2991","85","2364","67","1311","37"
"LEARY ISD","019914","Spring 2025","8","2","","","","","","","","",""
"LEFORS ISD","090902","Spring 2025","8","8","1686","7","88","1","13","0","0","0","0"
"LEGACY PREPARATORY","057846","Spring 2025","8","108","1822","38","35","70","65","38","35","11","10"
"LEGACY SCHOOL OF SPORT SCIENCES","101874","Spring 2025","8","75","1720","55","73","20","27","5","7","0","0"
"LEGACY TRADITIONAL SCHOOLS - TEXAS","015806","Spring 2025","8","110","1855","33","30","77","70","47","43","22","20"
"LEGGETT ISD","187906","Spring 2025","8","17","1784","8","47","9","53","2","12","0","0"
"LEON ISD","145911","Spring 2025","8","53","1840","17","32","36","68","19","36","10","19"
"LEONARD ISD","074909","Spring 2025","8","68","1878","13","19","55","81","36","53","10","15"
"LEVELLAND ISD","110902","Spring 2025","8","193","1778","87","45","106","55","38","20","4","2"
"LEVERETTS CHAPEL ISD","201904","Spring 2025","8","15","1753","8","53","7","47","1","7","0","0"
"LEWISVILLE ISD","061902","Spring 2025","8","3728","1890","985","26","2743","74","1936","52","899","24"
"LEXINGTON ISD","144902","Spring 2025","8","64","1893","14","22","50","78","40","63","12","19"
"LIBERTY HILL ISD","246908","Spring 2025","8","747","1878","179","24","568","76","385","52","150","20"
"LIBERTY ISD","146906","Spring 2025","8","166","1777","75","45","91","55","36","22","3","2"
"LIBERTY-EYLAU ISD","019908","Spring 2025","8","134","1712","103","77","31","23","5","4","0","0"
"LIFE SCHOOL","057807","Spring 2025","8","346","1819","115","33","231","67","123","36","18","5"
"LIGHTHOUSE PUBLIC SCHOOLS","015825","Spring 2025","8","27","1775","13","48","14","52","5","19","0","0"
"LINDALE ISD","212903","Spring 2025","8","261","2041","23","9","238","91","214","82","151","58"
"LINDEN-KILDARE CISD","034905","Spring 2025","8","27","1709","21","78","6","22","0","0","0","0"
"LINDSAY ISD","049907","Spring 2025","8","16","1854","4","25","12","75","8","50","0","0"
"LINGLEVILLE ISD","072909","Spring 2025","8","17","1888","1","6","16","94","10","59","2","12"
"LIPAN ISD","111902","Spring 2025","8","41","1833","16","39","25","61","18","44","5","12"
"LITTLE CYPRESS-MAURICEVILLE CISD","181908","Spring 2025","8","286","1844","94","33","192","67","118","41","34","12"
